Top Attractions ,Lat,Lng,
"Southern Cross Station, Collins Street, Docklands VIC",,,
"Phillip Island Nature Park, Summerlands, Victoria",-38.509011,145.147773,"lat=-38.509011, lng=145.147773"
"Otway Fly Treetop Adventures, Phillips Track, Weeaproinah VIC",-38.649608,143.504592,"lat=-38.649608, lng=143.504592"
"Sovereign Hill, Golden Point VIC",-37.574973,143.866388,"lat=-37.574973, lng=143.866388"
"Puffing Billy Railway, Old Monbulk Road, Belgrave VIC",-37.907852,145.356742,"lat=-37.907852, lng=145.356742"
"Healesville Sanctuary, Healesville VIC",-37.681704,145.529965,"lat=-37.681704, lng=145.529965"
"Gum San Chinese Heritage Centre, Lambert Street, Ararat VIC",-37.279449,142.924994,"lat=-37.279449, lng=142.924994"
"Central Deborah Gold Mine, Violet Street, Bendigo VIC",-36.764769,144.270386,"lat=-36.764769, lng=144.270386"
"Wilsons Promontory National Park, Wilsons Promontory VIC",-38.919431,146.332476,"lat=-38.919431, lng=146.332476"
"12 Apostles Visitor Centre, Princetown VIC",-38.662101,143.105027,"lat=-38.662101, lng=143.105027"
